*,DD
NAME,ADDRESS
경동동물병원,
성동동물병원,
심재웅동물병원,서울특별시 동대문구 망우로 120 (휘경동)
하니동물병원,
홍릉동물병원,
박철환동물병원,서울특별시 동대문구 사가정로 221 (장안동)
뉴월드동물병원,"서울특별시 동대문구 한천로 94, 1층 (장안동)"
그랜드동물병원,서울특별시 동대문구 전농로 86-1 (답십리동)
애니케어동물병원,서울특별시 동대문구 이문로 80 (이문동)
푸른종합동물병원,"서울특별시 동대문구 홍릉로 48-1, 1층 (청량리동)"
장평25시동물종합병원,서울특별시 동대문구 장한로 139 (장안동)
안암동물병원,"서울특별시 동대문구 안암로 40, 1층 (용두동)"
주주동물병원,서울특별시 동대문구 사가정로 121 (전농동)
휘경동물병원,
현대종합동물병원,서울특별시 동대문구 답십리로 293 (장안동)
다솜종합동물병원,"서울특별시 동대문구 전농로 15-3, 1층 (답십리동)"
VIP동물의료센터,서울특별시 동대문구 답십리로 298 (장안동)
태양종합동물병원,
정다운동물병원,"서울특별시 동대문구 안암로 102, 1층 (제기동)"
애니펫동물병원,
디아크동물병원,서울특별시 동대문구 홍릉로 64-1 (청량리동)
전농종합동물병원,
수동물병원,
사랑동물병원,
우리동물병원,
우리동물병원,
맑은 동물병원,"서울특별시 동대문구 청계천로 417, 108호 (신설동, 청계천 대성 스카이렉스1)"
쿨펫동물병원-장안점,서울특별시 동대문구 답십리로 288 (장안동)
그린동물병원,"서울특별시 동대문구 정릉천동로 58, 1층 125호 (용두동, 롯데캐슬피렌체)"
엘동물병원,서울특별시 동대문구 고산자로 393-5 (용두동)
동물사랑실천병원,서울특별시 동대문구 전농로 43 (답십리동)
제이동물병원,서울특별시 동대문구 왕산로 94 (용두동)
러브펫동물병원,서울특별시 동대문구 장한로 77 (장안동)
제연동물병원,서울특별시 동대문구 답십리로 77 (전농동)
VIP동물의료센터,서울특별시 동대문구 답십리로 298 (장안동)
페트로동물의료원,"서울특별시 동대문구 장한로 77, 가나빌딩 (장안동)"
하나동물병원,서울특별시 동대문구 망우로 66 (휘경동)
봄봄동물병원,서울특별시 동대문구 회기로18길 46 (회기동)
아인스동물병원,서울특별시 동대문구 장한로 44 (장안동)
아띠동물의료센터,서울특별시 동대문구 사가정로 51 (전농동)
스마트동물병원,"서울특별시 동대문구 한천로 164, 1층 (장안동)"
현대종합동물병원,"서울특별시 동대문구 답십리로 293, 1층 (장안동)"
바론동물병원,"서울특별시 동대문구 이문로 136, 2층 208호 (이문동, 이문동 웰츠타워)"
더케이동물병원,"서울특별시 동대문구 답십리로 140, 세기프라자 2층 211호 (답십리동)"
현대종합동물병원,"서울특별시 동대문구 답십리로 293, 1층 (장안동)"
하이유 동물병원,서울특별시 동대문구 전농로 15-3 (답십리동)
아인스동물병원,"서울특별시 동대문구 장한로 44, 1층 (장안동)"
아이원 동물병원,"서울특별시 동대문구 전농로 80, 1층 (답십리동)"
