*,GA
NAME,ADDRESS
보라매동물병원,"서울특별시 관악구 봉천로 239, 1층 (봉천동)"
에덴동물병원,서울특별시 관악구 남부순환로 1929 (봉천동)
한성동물병원,서울특별시 관악구 신림로 265 (신림동)
남부동물병원,
형제동물병원,서울특별시 관악구 남부순환로 1747-1 (봉천동)
최재준동물병원,
DS동물병원,"서울특별시 관악구 조원중앙로 3, 1층 (신림동)"
서진동물병원,서울특별시 관악구 봉천로 236 (신림동)
관악동물병원,
서울대부속동물병원,
정우동물병원,서울특별시 관악구 신림로 138 (신림동)
세계로동물병원,
한빛동물병원,
내사랑동물병원,
서울동물병원,서울특별시 관악구 신림로 233 (신림동)
닥터엠동물병원,
나은동물종합병원,
양지동물병원,"서울특별시 관악구 남부순환로191길 10, 1층 (봉천동)"
현대동물병원,
나눔동물병원,
관악동물병원,서울특별시 관악구 남부순환로 1859 (봉천동)
신림종합동물병원,서울특별시 관악구 신림로 157-1 (신림동)
관악동물종합병원,서울특별시 관악구 남부순환로 1859 (봉천동)
러브펫종합동물병원,서울특별시 관악구 남부순환로 1429 (신림동)
해맑은동물병원,
DR.차동물병원,
난곡서울동물병원,
한빛동물병원,서울특별시 관악구 인헌6길 8 (봉천동)
행복한동물병원,서울특별시 관악구 은천로 121 (봉천동)
늘푸른동물병원,"서울특별시 관악구 난곡로 223-1, 1층 (신림동)"
낙성대동물병원,
세계로동물병원,서울특별시 관악구 남부순환로 1497 (신림동)
나은동물병원,
행복한동물병원,"서울특별시 관악구 인헌6길 15 (봉천동,새한빌딩 104호)"
샘동물병원,서울특별시 관악구 호암로 591 (신림동)
난곡서울동물병원,
해오름동물병원,
동물은 내친구,
쥬쥬종합동물병원,
세인트필립동물병원,서울특별시 관악구 남부순환로 2062 (남현동)
와우종합동물병원,서울특별시 관악구 난곡로 247 (신림동)
로잔동물의료센터,"서울특별시 관악구 관악로29길 3, 수안빌딩 1층 (봉천동)"
서울허브동물병원,"서울특별시 관악구 남부순환로 1811, 신원메트로빌 (봉천동)"
올포유동물병원,
서울대학교 수의과대학 동물병원,서울특별시 관악구 관악로 1 (신림동)
서진동물병원,서울특별시 관악구 봉천로 236 (신림동)
프렌즈동물병원,서울특별시 관악구 관악로 223 (봉천동)
은천동물병원,서울특별시 관악구 은천로 22 (봉천동)
관악동물종합병원,서울특별시 관악구 남부순환로 1859 (봉천동)
고려동물병원,서울특별시 관악구 시흥대로 552-1 (신림동)
예일동물병원,서울특별시 관악구 봉천로 232 (신림동)
닥터킴 동물병원,"서울특별시 관악구 은천로 97, 공원빌딩 (봉천동)"
행복한동물병원,서울특별시 관악구 인헌6길 15 (봉천동)
관악동물종합병원,서울특별시 관악구 남부순환로 1859 (봉천동)
서울대학교 수의과대학 동물병원,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)"
재활한방 나눔동물병원,서울특별시 관악구 남부순환로 1964 (봉천동)
아이러브펫동물병원,"서울특별시 관악구 과천대로 909, 남현프라자 (남현동)"
난향동물병원,"서울특별시 관악구 난곡로 98, B동 B05호 (신림동, 파로스프라자)"
비타민동물병원,서울특별시 관악구 인헌6길 8 (봉천동)
마음동물병원,"서울특별시 관악구 봉천로 601, 1층 (봉천동)"
세계로 고양이 전문의료센터,서울특별시 관악구 남부순환로 1497 (신림동)
동물병원 베를린,"서울특별시 관악구 남부순환로 1531 (신림동, 태광빌딩)"
이로동물병원,서울특별시 관악구 남부순환로 1678 (신림동)
연세동물병원,서울특별시 관악구 봉천로 516 (봉천동)
더블유동물병원,서울특별시 관악구 은천로 85 (봉천동)
서울종합동물병원,"서울특별시 관악구 신림로 233, 1층 (신림동)"
24시 굿케어동물의료센터,"서울특별시 관악구 남부순환로 1861, 1층 103호 (봉천동)"
스누피동물병원,"서울특별시 관악구 남부순환로 1444, 101호 (신림동)"
봉천현대동물병원,"서울특별시 관악구 봉천로 520, 3층 (봉천동)"
비바동물병원,"서울특별시 관악구 쑥고개로 57-1, 1층 (봉천동)"
