*,GB
NAME,ADDRESS
롯데동물병원,
삼양동물병원,"서울특별시 강북구 삼양로 190, 백운M빌딩 1층 (미아동)"
다나동물병원,
중앙동물병원,서울특별시 강북구 도봉로 88 (미아동)
동물병원 위드,서울특별시 강북구 덕릉로 79 (수유동)
홈펫동물병원,
사랑동물병원,서울특별시 강북구 삼양로123길 6-12 (수유동)
미아동물병원,서울특별시 강북구 솔샘로 255 (미아동)
현대종합동물병원,서울특별시 강북구 노해로 94 (수유동)
솔샘동물병원,"서울특별시 강북구 솔샘로 267, 2층203호 (미아동, 삼양빌딩)"
애니케어 동물병원 수유점,서울특별시 강북구 삼양로 499 (수유동)
시티동물병원,서울특별시 강북구 솔샘로 223 (미아동)
가나안동물병원,서울특별시 강북구 인수봉로 152 (수유동)
강북동물병원,서울특별시 강북구 삼양로 601 (우이동)
초이스동물병원,서울특별시 강북구 삼양로117길 5 (수유동)
사랑의동물병원,"서울특별시 강북구 솔샘로 174 (미아동, sk주상가 209호)"
대형동물병원,서울특별시 강북구 삼양로 504 (수유동)
창문동물병원,서울특별시 강북구 월계로 35 (미아동)
위즈동물병원,서울특별시 강북구 도봉로 202 (미아동)
홈펫동물병원,서울특별시 강북구 도봉로 110-1 (미아동)
캐어포스트,서울특별시 강북구 덕릉로 39 (수유동)
신원동물병원,서울특별시 강북구 한천로 944-1 (번동)
동물을사랑하는사람들,서울특별시 강북구 도봉로98길 56 (번동)
강북동물병원,"서울특별시 강북구 오현로 194 (번동, 덕수빌딩 1층)"
삼성동물병원,"서울특별시 강북구 삼양로19길 25, 110동 지층 1-2,1-3호 (미아동, 삼성래미안트리베라1차아파트)"
수 동물병원,"서울특별시 강북구 솔샘로 220 (미아동, 유머빌딩 103호)"
보노보노동물병원,"서울특별시 강북구 삼양로 336, 예향교회 1층 (수유동)"
호 동물병원,서울특별시 강북구 월계로 53 (미아동)
쿠키동물병원,"서울특별시 강북구 삼양로27길 19 (미아동, 래미안트리베라 201동 116호)"
봉식동물병원,서울특별시 강북구 삼양로 252 (미아동)
스마트 동물병원,"서울특별시 강북구 솔샘로 203-2, 1층 (미아동)"
H 동물병원,"서울특별시 강북구 삼양로27길 35-21, 미아프라자 106호 (미아동)"
초이스동물병원,"서울특별시 강북구 삼양로117길 5, 1층 (수유동)"
프렌즈동물병원,"서울특별시 강북구 오패산로 160, 1층 (미아동, 참존빌)"
24시 수유 바른펫 동물의료센터,"서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)"
사랑의 동물병원,"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 상가동 2동 209호 (미아동)"
24시 루시드 동물메디컬센터,"서울특별시 강북구 월계로 3, 덕신빌딩 4층 (미아동)"
24시루시드동물메디컬센터,"서울특별시 강북구 월계로 3, 덕신빌딩 4층 (미아동)"
아이사랑동물병원,"서울특별시 강북구 삼양로24길 19, 102동 110호 (미아동, 현대성우아파트)"
