*,GD
NAME,ADDRESS
이진수동물병원,
암사동물병원,"서울특별시 강동구 올림픽로 793, 내호빌딩 1층 (암사동)"
GD동물병원,"서울특별시 강동구 상일로 13, 1,2층 (상일동)"
아프리카동물병원,
피카소동물병원,서울특별시 강동구 구천면로 431 (명일동)
길종합동물병원,"서울특별시 강동구 천호대로 1199, 1층 104호 (길동)"
세종동물병원,서울특별시 강동구 구천면로 237 (천호동)
세종종합동물병원,
광나루동물병원,서울특별시 강동구 올림픽로 800 (암사동)
페토피아동물병원,서울특별시 강동구 양재대로 1299 (성내동)
가나동물병원,서울특별시 강동구 고덕로 101 (암사동)
명성동물병원,서울특별시 강동구 양재대로 1601 (천호동)
다래동물병원,서울특별시 강동구 구천면로 289 (천호동)
쥬라기동물병원,서울특별시 강동구 올림픽로 703 (천호동)
성심동물종합병원,
사랑이있는동물병원,서울특별시 강동구 구천면로 446 (명일동)
꼭지동물병원,
두루동물병원,서울특별시 강동구 구천면로 498-1 (명일동)
강동동물병원,서울특별시 강동구 양재대로 1532 (길동)
둔촌동물병원,서울특별시 강동구 양재대로 1385 (성내동)
김태화동물병원,서울특별시 강동구 천호대로 1190 (둔촌동)
해태동물병원,서울특별시 강동구 동남로73길 26 (명일동)
현대종합동물병원,서울특별시 강동구 구천면로 238 (천호동)
해피랜드동물병원,
신세대동물병원,
CH동물병원,서울특별시 강동구 구천면로 322 (천호동)
행복동물병원,
세종동물병원,
우리종합동물병원,
행복동물병원,
주양동물병원,
신세대동물병원,
신세대동물병원,
열린24시동물병원,서울특별시 강동구 양재대로 1508 (길동)
신세대동물병원,
박형우동물병원,"서울특별시 강동구 올림픽로 568, EMK빌딩 2층 (성내동)"
이숍동물병원,
폭시팻동물병원,
행복동물병원,
이솝동물병원,
신세대동물병원,
신세대동물병원,
성내동물병원,
Dr.심 동물병원,
왈왈동물병원,
신세대동물병원,
해맑은동물병원,"서울특별시 강동구 성안로 170, 104호 (길동, 에이치비골드빌)"
정동물병원,서울특별시 강동구 상암로 64 (천호동)
에코바이오동물병원,
에바다종합동물병원,
주양동물병원,
신세대동물병원,
성내동물병원,
신세대동물병원,
주양동물병원,서울특별시 강동구 고덕로62길 55 (명일동)
한나동물병원,
필립동물병원,
펫클럽동물병원,
천호25시동물병원,
펫클럽동물병원,"서울특별시 강동구 구천면로 428, 108호 (명일동, 센트로빌)"
시온동물병원,서울특별시 강동구 천호대로 1057 (천호동)
폭시펫동물병원,
시이튼동물병원,
늘사랑동물병원,"서울특별시 강동구 고덕로 162, 101호 (명일동)"
펫프렌즈동물병원천호,
Dr.베토벤동물병원,서울특별시 강동구 구천면로 664 (상일동)
해피랜드동물병원,
성내동물병원,
사랑해동물병원,
성내동물병원,서울특별시 강동구 풍성로 145 (성내동)
서울동물메디컬센터,"서울특별시 강동구 양재대로 1410, 준영빌딩 (둔촌동)"
