*,JG
NAME,ADDRESS
문화동물병원,서울특별시 중구 다산로 145-1 (신당동)
윤신근박사동물병원,서울특별시 중구 퇴계로 226 (필동2가)
바우미우동물병원,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)"
황동물병원,서울특별시 중구 퇴계로 254-1 (묵정동)
대한동물병원,서울특별시 중구 퇴계로 227 (충무로4가)
동국동물병원,서울특별시 중구 퇴계로 238 (충무로5가)
푸른약수동물병원,
남산동물병원,"서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)"
청구동물병원,
미래지동물의료센터,"서울특별시 중구 다산로 107, 2층 (신당동)"
제일동물병원,
Zoo동물병원,
충정동물병원,"서울특별시 중구 중림로 10 (중림동,삼성사이버빌리지 상가 2동 1층 103-1호)"
차지우동물병원,"서울특별시 중구 동호로 204, 청화빌딩 1층 (신당동)"
행복한둥지동물병원,
웰펫동물병원,서울특별시 중구 동호로 178 (신당동)
백슬동물병원,"서울특별시 중구 만리재로 177, 105호 (만리동2가, 서울역한라비발디센트럴)"
웰니스 클리닉(청계천점),"서울특별시 중구 청계천로 400, 지하2층 (황학동, 롯데캐슬베네치아)"
좋아요 동물병원,"서울특별시 중구 다산로36길 83, 1층 (신당동)"
그녀의 동물병원,"서울특별시 중구 다산로 32, 스포츠센터동 106-2호 (신당동, 남산타운)"
올댓동물병원,"서울특별시 중구 동호로11길 32, 1층 (신당동)"
바른동물병원,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)"
한국양봉농협 동물병원,"서울특별시 중구 다산로 178, 한국양봉농협 본점 5층 (신당동)"
애니컴 메디컬센터,"서울특별시 중구 다산로 83-1, 3층 (신당동)"
메종동물병원,"서울특별시 중구 다산로 230, 하나빌딩 1층 (신당동)"
웰니스클리닉(청계천점),"서울특별시 중구 청계천로 400, 지하 1층 (황학동, 롯데캐슬베네치아)"
헬릭스동물심장수술센터,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 2층 (을지로5가)"
헬릭스동물암센터,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)"
서울동물영상종양센터,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)"
웰튼동물의료센터,"서울특별시 중구 난계로 197, 1,2,4층 (황학동)"
