*,JN
NAME,ADDRESS
홍수의과병원,
독립문동물병원,"서울특별시 종로구 통일로 238, 지층 (무악동)"
평화동물병원,
대학로동물병원,서울특별시 종로구 창경궁로 261 (명륜2가)
월드펫동물병원,서울특별시 종로구 진흥로 477-1 (신영동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
해동물병원,서울특별시 종로구 지봉로 53-1 (창신동)
북악동물병원,서울특별시 종로구 자하문로 293 (홍지동)
평창동물병원,서울특별시 종로구 세검정로 313 (평창동)
성현동물병원,서울특별시 종로구 혜화로 11 (명륜1가)
올리브동물병원,서울특별시 종로구 자하문로 305 (홍지동)
평창동물병원,서울특별시 종로구 평창문화로 31 (평창동)
우리동물병원,서울특별시 종로구 지봉로 96-3 (숭인동)
누리봄동물병원,서울특별시 종로구 사직로12길 2 (내자동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동)
월드펫동물병원,서울특별시 종로구 진흥로 473 (신영동)
광화문동물병원,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)"
경희궁 바른 동물병원,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)"
선동물병원,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)"
