*,JR
NAME,ADDRESS
태능동물병원,"서울특별시 중랑구 동일로 920, 3층 (묵동)"
혜원동물병원,"서울특별시 중랑구 면목로 341, 혜원동물병원 (면목동)"
중랑차동물병원,서울특별시 중랑구 중랑천로 81 (상봉동)
보람동물병원,서울특별시 중랑구 면목로 269 (면목동)
엔젤동물병원,서울특별시 중랑구 겸재로 187 (면목동)
동부제일동물병원,서울특별시 중랑구 망우로 266 (상봉동)
홍상희동물병원,"서울특별시 중랑구 동일로 899, 1층 (묵동)"
비비펫동물병원,
하스펫탈동물병원,서울특별시 중랑구 면목로 437 (면목동)
신내동물병원,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)"
제일동물병원,
협동가축진료소,
진정훈동물병원,"서울특별시 중랑구 동일로 777, 진정훈동물병원 (중화동)"
성지동물병원,서울특별시 중랑구 면목로 311 (면목동)
행복이있는동물병원,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)"
하나동물병원,
금란동물병원,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)"
24시 동물응급의료센터,"서울특별시 중랑구 망우로 247, 지하1층 (중화동, 로얄스포츠센터)"
로얄메디컬센터,서울특별시 중랑구 망우로 247 (중화동)
세진종합동물병원,
서울우유협동조합유우진료소,서울특별시 중랑구 중랑천로 71 (상봉동)
비비펫동물병원,
진영동물병원,
제일동물병원,서울특별시 중랑구 면목로 273 (면목동)
우리들동물병원,서울특별시 중랑구 동일로 678 (면목동)
하나동물병원,
제일동물병원,
하나동물병원,
쥬라기동물병원,"서울특별시 중랑구 신내로 211, 119호 (신내동, 금강리빙스텔)"
하나동물병원,
진영동물병원,서울특별시 중랑구 동일로96길 33 (면목동)
주연동물병원,서울특별시 중랑구 면목로 273 (면목동)
진서동물병원,서울특별시 중랑구 신내로10길 7 (신내동)
세진동물병원,"서울특별시 중랑구 망우로 396, 신인빌딩 (망우동)"
해피데이동물병원,서울특별시 중랑구 상봉중앙로1길 82 (상봉동)
다음동물병원,서울특별시 중랑구 용마산로 373 (면목동)
숲속동물병원,"서울특별시 중랑구 겸재로 207, 1층 (면목동)"
진영동물병원,
칸동물병원,
진영동물병원,
로얄동물메디컬센터,서울특별시 중랑구 망우로 247 (중화동)
진영동물병원,"서울특별시 중랑구 동일로96길 33, 바하피아노학원 (면목동)"
면목동물병원,서울특별시 중랑구 사가정로 363 (면목동)
하니동물병원,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 142호 (신내동)"
한국동물메디컬센터(KAMC),"서울특별시 중랑구 겸재로 165, 1,2층 (면목동)"
왈츠동물병원,"서울특별시 중랑구 신내로 45, 103호 (신내동)"
닥터 아이펫 동물병원,"서울특별시 중랑구 망우로 315, 2층 (상봉동)"
도그플러스 동물병원,"서울특별시 중랑구 신내로 201, 2층 (신내동, 홈플러스)"
행복이 있는 동물병원,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)"
보담동물병원,"서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)"
동물수술전문센터,"서울특별시 중랑구 망우로 247, 1층 (중화동, 로얄스포츠센터)"
한국동물영상의학센터,"서울특별시 중랑구 망우로 241, 지하1층 (중화동, 영해빌딩)"
중랑차 동물병원,서울특별시 중랑구 중랑천로 81 (상봉동)
힐링페츠,"서울특별시 중랑구 답십리로77길 33, 1층 (면목동)"
아이봄 동물병원,서울특별시 중랑구 신내로 66 (신내동)
치료해 주오,"서울특별시 중랑구 동일로 925, 3층 (묵동)"
