*,SD
NAME,ADDRESS
함께하는동물병원,서울특별시 성동구 독서당로 200 (옥수동)
제일동물병원,
무학동물병원,
영진동물병원,서울특별시 성동구 왕십리로 373 (하왕십리동)
현대동물병원,서울특별시 성동구 금호로 47 (금호동4가)
평화와생명동물병원,"서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)"
오렌지동물병원,서울특별시 성동구 행당로8길 41-2 (행당동)
강아지나라동물병원,서울특별시 성동구 금호로 148-1 (금호동1가)
박종태종합동물병원,서울특별시 성동구 장터길 18 (금호동4가)
성동동물병원,
퍼스트펫동물병원,
생명사랑동물병원,"서울특별시 성동구 독서당로 206 (옥수동,2층)"
강아지나라동물병원,서울특별시 성동구 금호산길 63-1 (금호동2가)
성수동물병원,서울특별시 성동구 왕십리로 100 (성수동1가)
한사랑동물병원,
내친구동물병원,
아이러브 팻 동물병원,
강아지나라동물병원,서울특별시 성동구 금호산길 63-1 (금호동2가)
늘푸른동물병원,"서울특별시 성동구 난계로 35 (금호동1가,외4필지)"
로얄벳성수점동물병원,서울특별시 성동구 뚝섬로 377 (성수동2가)
한빛동물병원,서울특별시 성동구 금호산길 63-1 (금호동2가)
독스동물병원,
아지동물병원,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)"
성동동물종합병원,
24시센트럴동물메디컬센터,서울특별시 성동구 고산자로 207 (행당동)
이윤세동물병원,"서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)"
쿨펫동물병원,
한양동물메디컬센터,서울특별시 성동구 왕십리로 282 (행당동)
금호동물병원,서울특별시 성동구 금호로 82-1 (금호동1가)
서울숲동물병원,서울특별시 성동구 뚝섬로 386 (성수동2가)
옥수수 동물병원,"서울특별시 성동구 독서당로40길 39, 213호 (옥수동, 어울림상가)"
도담동물병원(출장진료전문 동물병원),"서울특별시 성동구 독서당로59길 84, 신동아아파트상가동 1층 111호 (행당동)"
라임동물병원,서울특별시 성동구 무학로 16 (홍익동)
펫 365 동물병원,서울특별시 성동구 독서당로 328 (금호동4가)
신당햇살동물병원,서울특별시 성동구 행당로1길 23 (금호동1가)
성동동물종합병원,서울특별시 성동구 아차산로 75 (성수동2가)
성동제일동물병원,서울특별시 성동구 아차산로 75 (성수동2가)
바른동물병원,"서울특별시 성동구 독서당로 270, 상가동 2층 206호 (금호동4가, 금호동 대우아파트)"
기린동물병원,서울특별시 성동구 마장로 296 (마장동)
왕십리조은동물병원,서울특별시 성동구 왕십리로 381 (하왕십리동)
24시LC동물의료센터,서울특별시 성동구 천호대로 288 (용답동)
텐즈힐링동물병원,"서울특별시 성동구 마장로 137, 221동 134호 (상왕십리동, 텐즈힐몰)"
SL동물병원,"서울특별시 성동구 왕십리로 340, 1층 (도선동)"
펫365동물병원,서울특별시 성동구 독서당로 328 (금호동4가)
해치동물병원,"서울특별시 성동구 독서당로 434, 308호 (응봉동, 대림종합상가)"
오석헌동물병원,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)"
제인동물병원,서울특별시 성동구 뚝섬로 395 (성수동2가)
동물병원소풍,"서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)"
금호동물병원,"서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)"
신당햇살동물병원,"서울특별시 성동구 행당로1길 23, 1층 (금호동1가)"
포레동물병원,"서울특별시 성동구 성수일로 33, 1층 (성수동1가, 정인숙보습학원)"
스테이동물병원,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)"
바라봄동물병원,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)"
다온동물병원,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)"
달링동물병원,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)"
수동물병원,서울특별시 성동구 광나루로 337 (송정동)
바우라움동물병원,"서울특별시 성동구 왕십리로 241, 4층 (행당동, 서울숲 더샵)"
베이지동물병원,"서울특별시 성동구 왕십리로 410, D동 106호 (하왕십리동, 센트라스)"
오늘동물병원,"서울특별시 성동구 왕십리로 104, 영화빌딩 2층 (성수동1가)"
