*,SP
NAME,ADDRESS
애니종합동물병원,서울특별시 송파구 토성로 30-1 (풍납동)
사랑의동물병원,서울특별시 송파구 백제고분로 218 (삼전동)
잠실종합병원,
이재풍동물병원,서울특별시 송파구 오금로35길 44 (오금동)
거여가축병원,서울특별시 송파구 마천로26길 12 (오금동)
영국동물병원,"서울특별시 송파구 동남로18길 23, 무영빌딩 (가락동)"
희망종합동물병원,"서울특별시 송파구 올림픽로 88, 올림픽타워 101호 (잠실동)"
노아동물병원,서울특별시 송파구 오금로 498 (거여동)
오주동물병원,"서울특별시 송파구 마천로 264, 흥일빌딩 (거여동)"
펫토피아동물병원,"서울특별시 송파구 오금로 203, 남양빌딩 (방이동)"
석촌동물병원,
에이스동물병원,서울특별시 송파구 중대로 206 (가락동)
김민재동물병원,서울특별시 송파구 동남로 318 (오금동)
워리동물병원,
박경호동물병원,서울특별시 송파구 올림픽로 362 (방이동)
서울동물병원,
위드펫종합동물병원,"서울특별시 송파구 백제고분로 161, 성선빌딩 (잠실동)"
25시동물병원,"서울특별시 강남구 봉은사로72길 33, 101동 8층 1호 (삼성동, 영무예다음)"
천호동물병원,서울특별시 송파구 올림픽로 611 (풍납동)
훼미리동물병원,
문정종합동물병원,
박형우종합동물병원,
다사랑동물병원,서울특별시 송파구 성내천로 306 (마천동)
한울동물병원,서울특별시 송파구 올림픽로 240 (잠실동)
엄마손동물병원,
가락종합동물병원,"서울특별시 송파구 오금로 247, 건양빌딩 (방이동)"
첼린저동물병원,서울특별시 송파구 마천로 274 (거여동)
밍키종합동물병원,
한양종합동물병원,서울특별시 송파구 가락로 162 (송파동)
LA종합동물병원,
하트동물메디컬센터,"서울특별시 송파구 삼학사로 75, 신일빌딩 (삼전동)"
로데오24종합동물병원,서울특별시 송파구 동남로4길 25 (문정동)
더독동물병원,서울특별시 송파구 오금로46길 36 (가락동)
서광VETLAB,
밍키종합동물병원,
동물의왕국,서울특별시 송파구 마천로 263 (마천동)
한성종합동물병원,서울특별시 송파구 백제고분로48길 6 (방이동)
서울동물의료원,
엄마손동물병원,
문정종합동물병원,서울특별시 송파구 동남로 202 (가락동)
Di.J동물병원,
메디텍코리아,
서울동물의료원,"서울특별시 송파구 백제고분로 195 (삼전동,지하1,지상1층)"
가람종합동물병원,서울특별시 송파구 오금로 494 (거여동)
25시동물병원,
올림픽동물병원,
박형우동물병원,서울특별시 송파구 올림픽로 553 (풍납동)
송파동물의료센터,서울특별시 송파구 송파대로 378 (송파동)
동물의왕국,서울특별시 송파구 마천로 263 (마천동)
엄마손동물병원,서울특별시 송파구 가락로 62 (석촌동)
밍키종합동물병원,서울특별시 송파구 송이로 95 (가락동)
방이동물병원,서울특별시 송파구 가락로 259 (방이동)
건국동물병원,서울특별시 송파구 백제고분로 214 (삼전동)
봄빛동물병원,서울특별시 송파구 송이로 171 (가락동)
강남종합동물병원,서울특별시 송파구 오금로 168 (송파동)
올림픽동물병원,"서울특별시 송파구 강동대로 320 (방이동,G상가105호)"
동물의왕국동물병원,서울특별시 송파구 마천로 263 (마천동)
훼밀리동물병원,
늘푸른동물병원,"서울특별시 송파구 마천로5길 16, 우일빌딩 (오금동)"
메디칼동물병원,
팔라스동물병원,서울특별시 송파구 백제고분로 131 (잠실동)
닥터제이동물병원,서울특별시 송파구 송파대로 451 (석촌동)
25시동물의료센터,"서울특별시 송파구 삼전로 80, 남관빌딩 (삼전동)"
잠실종합동물병원,"서울특별시 송파구 송파대로 388, 창영빌딩 (송파동)"
메디펫동물병원,"서울특별시 송파구 성내천로 211 (마천동,우방아파트상가)"
펫가든동물병원,"서울특별시 송파구 중대로 80, 문정프라자 (문정동)"
오즈동물병원,서울특별시 송파구 강동대로 300 (방이동)
페미페츠동물병원,서울특별시 송파구 오금로 169 (방이동)
늘푸른동물병원,서울특별시 송파구 올림픽로35길 124 (신천동)
바울동물병원,
준동물병원,서울특별시 송파구 위례성대로 178 (오금동)
준동물병원,"서울특별시 송파구 중대로 320, 이화빌딩 1층 (오금동)"
패미페츠동물병원,서울특별시 송파구 오금로 169 (방이동)
(주)패미페츠동물병원,
패미페츠동물병원,
패미페츠동물병원,
페미페츠동물병원,서울특별시 송파구 오금로 169 (방이동)
페미페츠동물병원,
(주)한국동물임상연구소,서울특별시 송파구 백제고분로46길 41-12 (송파동)
(주)패미프랜동물병원,"충청남도 예산군 예산읍 아리랑로 93-10, 109동 1층 3호"
에버펫 동물병원,"서울특별시 송파구 오금로 422, 연암빌딩 1층 (가락동)"
서울동물병원,"서울특별시 송파구 송이로32길 16 (문정동,지상1층)"
"펫,알엔티 동물병원","서울특별시 송파구 중대로 80 (문정동,지하3층)"
송이종합동물병원,서울특별시 송파구 송이로 29-1 (송파동)
씨밀레동물병원,"서울특별시 송파구 올림픽로47길 20, 웅산빌딩 (풍납동)"
오륜동물병원,"서울특별시 송파구 오금로31길 41 (방이동,지상1층)"
사랑가득동물병원,"서울특별시 송파구 오금로32길 14 (송파동,삼성레미안(아)상가 101동 106호)"
쿨펫동물병원,"서울특별시 송파구 올림픽로 212 (잠실동,지하 136-11)"
로잔동물병원,
호수동물병원,"서울특별시 송파구 오금로 126, 105호 (송파동, 레이크 해모로)"
동산동물병원,서울특별시 송파구 백제고분로 270 (삼전동)
최재호한방동물병원,"서울특별시 송파구 백제고분로 181 (잠실동,지상2층)"
KYH웰빙동물병원,"서울특별시 송파구 삼전로 85, 태영빌딩 1층 (잠실동)"
잠실준25시동물병원,"서울특별시 송파구 석촌호수로 138, 유시에셋 (삼전동)"
쿨독동물병원,"서울특별시 송파구 중대로9길 48, MOXENHOUSE (가락동)"
러브펫동물병원,
해뜨는 동물병원,서울특별시 송파구 문정로4길 18 (문정동)
송파원동물병원,"서울특별시 송파구 백제고분로 432 (송파동,지상1층)"
해밀동물병원,서울특별시 송파구 송이로 98 (가락동)
레인보우동물병원,"서울특별시 송파구 가락로 259 (방이동,지상1층)"
오금 동물병원,"서울특별시 송파구 오금로 306 (가락동,가락스타클래스 107호)"
더 샵 동물메디컬센터,"서울특별시 송파구 올림픽로35가길 9, 상가동 2층 207호 (신천동, 잠실 푸르지오 월드마크)"
이솝 동물병원,"서울특별시 송파구 마천로 76 (오금동,지상1층)"
신천 동물병원,서울특별시 송파구 석촌호수로 94 (잠실동)
로잔동물병원,"서울특별시 송파구 석촌호수로 188 (석촌동,신동아로쟌뷰 1층(114호))"
서울동물병원,"서울특별시 송파구 송이로32길 16 (문정동,지상2층)"
두리동물병원,"서울특별시 송파구 성내천로 229, 1층 (마천동)"
알프스 동물병원,
내사랑 동물병원,
솔로몬동물병원,서울특별시 송파구 마천로 76 (오금동)
리오동물병원,"서울특별시 송파구 올림픽로 435, 상가동 1층 36호 (신천동, 파크리오)"
튼튼동물병원,"서울특별시 송파구 토성로 30-1 (풍납동,지상1층)"
꿈이 크는 동물병원,"서울특별시 송파구 백제고분로 115 (잠실동, 그린빌딩1층)"
에코동물병원,"서울특별시 송파구 동남로 161, 1층 2호 (가락동, 현대빌리지)"
참 동물병원,서울특별시 송파구 석촌호수로 74 (잠실동)
한양종합동물병원,"서울특별시 송파구 가락로 162, 1층 (송파동)"
