*,YS
NAME,ADDRESS
이수의과의원,서울특별시 용산구 후암로 13-2 (후암동)
청화동물병원,
남산동물병원,"서울특별시 용산구 후암로 51, 지상1층 (후암동)"
효창동물병원,서울특별시 용산구 백범로 293 (효창동)
21세기동물병원,"서울특별시 용산구 보광로 46, 용호빌딩 지상2층 202,203호 (보광동)"
이태원동물병원,서울특별시 용산구 녹사평대로 210 (이태원동)
한남동물병원,서울특별시 용산구 대사관로24길 28 (한남동)
구림동물병원,"서울특별시 용산구 이촌로 245 (이촌동,로얄상가106호)"
이상윤동물병원,
열린동물종합병원,"서울특별시 용산구 원효로 171, 신영빌딩 (원효로2가)"
보광동물병원,서울특별시 용산구 보광로 22-1 (보광동)
펫토이동물병원,
한사랑동물병원,
세하동물병원,
원효종합동물병원,서울특별시 용산구 원효로 187 (원효로2가)
용마종합동물병원,
ANYPET동물병원,서울특별시 용산구 회나무로 9 (이태원동)
퍼피119동물병원,
성심동물병원,서울특별시 용산구 우사단로10길 80 (보광동)
갤러리동물병원,서울특별시 용산구 회나무로 43 (이태원동)
갤러리동물병원,서울특별시 용산구 회나무로 43 (이태원동)
성심동물병원,서울특별시 용산구 우사단로10길 80 (보광동)
펫토이동물병원,
한사랑동물병원,서울특별시 용산구 신흥로 36-1 (용산동2가)
갤러리동물병원,서울특별시 용산구 회나무로 43 (이태원동)
성심동물병원,서울특별시 용산구 우사단로10길 80 (보광동)
한스동물병원,"서울특별시 용산구 한남대로 60 (한남동,한남리첸시아 비동 117호)"
펫프렌즈동물병원,
칼라'S종합동물병원,
칼리'S 동물병원,
펫토이 동물병원,
칼리스 동물병원,
청화종합동물병원,"서울특별시 용산구 보광로 90, 태광빌딩 1층 (이태원동)"
펫토이동물병원,서울특별시 용산구 대사관로 32 (한남동)
차오름동물병원,서울특별시 용산구 효창원로 14 (산천동)
이상윤동물병원,서울특별시 용산구 이촌로 248 (이촌동)
이촌종합동물병원,"서울특별시 용산구 이촌로 248, 21동106-1호 (이촌동, 한강맨션)"
칼리스동물병원,
갤러리동물병원,"서울특별시 용산구 회나무로 43 (이태원동,불럭)"
후암동물병원,
쿨펫동물병원,
쿨펫동물병원,
금강동물병원,"서울특별시 용산구 이촌로 303, 21동 112호 (이촌동, 현대아파트)"
라온동물병원,서울특별시 용산구 회나무로13길 6 (이태원동)
아프리카동물병원,서울특별시 용산구 후암로 32 (후암동)
쿨펫동물병원,
엉클장동물병원,"서울특별시 용산구 백범로 341, A동 지상1층 106호 (원효로1가, 리첸시아 용산)"
펫동물병원,"서울특별시 용산구 백범로 285, 지상1층 (효창동)"
(주)이상윤동물병원,"서울특별시 용산구 이촌로 248, 105호 (이촌동, 한강맨션)"
펫프렌즈동물병원용산점,
차오름동물병원,서울특별시 용산구 효창원로 14 (산천동)
러브펫동물병원,"서울특별시 용산구 한강대로23길 55, 5층 (한강로3가, 아이파크몰 패션관)"
달래동물의료센터,"서울특별시 용산구 한남대로 76, 한남프라자 2층 (한남동)"
보광동물병원,서울특별시 용산구 보광로 22-1 (보광동)
민트동물병원,"서울특별시 용산구 원효로 51, 119호 (산천동, 삼성테마트)"
펫프렌즈동물병원용산점,"서울특별시 용산구 한강대로23길 55, 지하2층 (한강로3가)"
이태원동물병원,"서울특별시 용산구 녹사평대로 210, 지상1,2층 (이태원동)"
동물병원 메이,"서울특별시 용산구 대사관로 41, 지상2층 (한남동)"
심 동물병원,"서울특별시 용산구 이태원로20길 2-12, 1,2층 (이태원동)"
퍼스동물병원,"서울특별시 용산구 신흥로 54, 106호 (용산동2가, 북동연립)"
펫세상 동물병원,"서울특별시 용산구 한강대로23길 55 (한강로3가, 이마트 지하2층 내)"
좋아서하는 동물병원,"서울특별시 용산구 백범로 341, B동 지상1층 113,114호 (원효로1가, 리첸시아 용산)"
바다동물병원(Bada Animal Hospital),"서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)"
24시 시유동물메디컬센터,"서울특별시 용산구 이촌로64길 24, 지상1층 101호 (이촌동)"
베이동물병원,"서울특별시 용산구 이촌로 248, 11동 102호 (이촌동, 한강맨션)"
더힐동물의료센터,"서울특별시 용산구 독서당로 81-1, 아이리스프라자 지상3층 (한남동)"
워너비동물병원 용산점,"서울특별시 용산구 서빙고로 35, 101동 101호 (한강로3가, 용산시티파크1단지)"
원스동물병원,"서울특별시 용산구 청파로47길 16, 지상1층 (청파동2가)"
