*,SD,*,JN,*,NW,*,DJ,*,SP,*,SC,*,DB,*,DD,*,GA,*,YC,*,GB,*,SB,*,JG,*,JR,*,SM,*,GN,*,YS,*,GS,*,EP,*,MP,*,GJ,*,GR,*,GC,*,GD,*,YD
NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS,NAME,ADDRESS
함께하는동물병원,서울특별시 성동구 독서당로 200 (옥수동),홍수의과병원,,공릉동물병원,서울특별시 노원구 동일로 1015 (공릉동),이승배수의과병원,,애니종합동물병원,서울특별시 송파구 토성로 30-1 (풍납동),이성환동물병원,서울특별시 서초구 방배로 232 (방배동),영풍동물병원,서울특별시 도봉구 도봉로 499 (쌍문동),경동동물병원,,보라매동물병원,"서울특별시 관악구 봉천로 239, 1층 (봉천동)",우신동물병원,서울특별시 양천구 중앙로 295 (신월동),롯데동물병원,,장위동물병원,서울특별시 성북구 장월로 93-1 (장위동),문화동물병원,서울특별시 중구 다산로 145-1 (신당동),태능동물병원,"서울특별시 중랑구 동일로 920, 3층 (묵동)",모래내동물병원,,로잔수의과병원,"서울특별시 강남구 삼성로 212 (대치동,은마상가A-229)",이수의과의원,서울특별시 용산구 후암로 13-2 (후암동),시온동물병원,서울특별시 강서구 까치산로 74 (화곡동),수색동물병원,,동교수의과병원,"서울특별시 마포구 양화로 182, 정민빌딩 30호 (동교동)",성동가축병원,,오류동물병원,"서울특별시 구로구 경인로 236, 예성라온팰리스 103동 101호 (오류동)",제일종합동물병원,서울특별시 금천구 독산로 58 (시흥동),이진수동물병원,,대림동물병원,서울특별시 영등포구 신길로 42 (신길동)
제일동물병원,,독립문동물병원,"서울특별시 종로구 통일로 238, 지층 (무악동)",노원동물병원,서울특별시 노원구 한글비석로 401 (상계동),중앙동물병원,"서울특별시 동작구 현충로 100, 1층 (흑석동)",사랑의동물병원,서울특별시 송파구 백제고분로 218 (삼전동),이강남동물병원,서울특별시 서초구 바우뫼로 179 (양재동),퓨리나동물병원,서울특별시 도봉구 도봉로 469 (쌍문동),성동동물병원,,에덴동물병원,서울특별시 관악구 남부순환로 1929 (봉천동),강현림 종합동물병원,서울특별시 양천구 등촌로 160 (목동),삼양동물병원,"서울특별시 강북구 삼양로 190, 백운M빌딩 1층 (미아동)",정릉동물병원,,윤신근박사동물병원,서울특별시 중구 퇴계로 226 (필동2가),혜원동물병원,"서울특별시 중랑구 면목로 341, 혜원동물병원 (면목동)",서문동물병원,,청담동물병원,"서울특별시 강남구 도산대로50길 13, 논현빌딩 3층 (논현동)",청화동물병원,,SKY동물병원,"서울특별시 강서구 양천로 72 (방화동, 해성빌딩)",응암동물병원,서울특별시 은평구 응암로 261 (응암동),마포동물병원,서울특별시 마포구 백범로 110 (대흥동),가람동물병원,,케이나인동물병원구로점,,아야야동물병원,서울특별시 금천구 두산로 71 (독산동),암사동물병원,"서울특별시 강동구 올림픽로 793, 내호빌딩 1층 (암사동)",대방동물병원,서울특별시 영등포구 여의대방로35길 1 (신길동)
무학동물병원,,평화동물병원,,한빛종합동물병원,서울특별시 노원구 동일로 1370 (상계동),야셀동물병원,"서울특별시 동작구 사당로 308 (사당동,화인빌딩 1층)",잠실종합병원,,유림동물안과병원,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",신창동물병원,서울특별시 도봉구 덕릉로 230 (창동),심재웅동물병원,서울특별시 동대문구 망우로 120 (휘경동),한성동물병원,서울특별시 관악구 신림로 265 (신림동),해성동물병원,서울특별시 양천구 은행정로 10 (신정동),다나동물병원,,보문동물병원,,바우미우동물병원,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",중랑차동물병원,서울특별시 중랑구 중랑천로 81 (상봉동),가좌동물병원,서울특별시 서대문구 응암로 77 (북가좌동),삼성종합동물병원,서울특별시 강남구 일원로 45 (일원동),남산동물병원,"서울특별시 용산구 후암로 51, 지상1층 (후암동)",용봉동물병원,"서울특별시 강서구 강서로17길 20 (화곡동, 용봉동물병원)",갈현동물병원,,서진동물병원,서울특별시 마포구 신촌로 56 (동교동),펫프라자동물병원,서울특별시 광진구 뚝섬로 619 (자양동),사랑동물병원,서울특별시 구로구 도림로 98 (구로동),벽산종합동물병원,,GD동물병원,"서울특별시 강동구 상일로 13, 1,2층 (상일동)",와우동물병원,서울특별시 영등포구 대림로 154 (대림동)
영진동물병원,서울특별시 성동구 왕십리로 373 (하왕십리동),대학로동물병원,서울특별시 종로구 창경궁로 261 (명륜2가),롯데동물병원,"서울특별시 노원구 동일로207길 17, 118호 (중계동, 시영1단지B상가 )",상도동물병원,,이재풍동물병원,서울특별시 송파구 오금로35길 44 (오금동),닥터은동물병원,,태일동물종합병원,서울특별시 도봉구 해등로 184 (쌍문동),하니동물병원,,남부동물병원,,신월동물병원,서울특별시 양천구 신월로 199 (신월동),중앙동물병원,서울특별시 강북구 도봉로 88 (미아동),광덕동물병원,,황동물병원,서울특별시 중구 퇴계로 254-1 (묵정동),보람동물병원,서울특별시 중랑구 면목로 269 (면목동),연희동물병원,,Dr.베토벤동물병원,서울특별시 강남구 언주로103길 51 (역삼동),효창동물병원,서울특별시 용산구 백범로 293 (효창동),화곡동물병원,"서울특별시 강서구 까치산로 80 (화곡동, 화곡동물병원)",김정복동물병원,서울특별시 은평구 통일로 879 (갈현동),서교동물병원,"서울특별시 마포구 포은로 107, 2층 (망원동)",수동물병원,서울특별시 광진구 광나루로 341 (군자동),개명동물병원,서울특별시 구로구 개봉로 50 (개봉동),은행나무종합동물병원,서울특별시 금천구 금하로 694 (시흥동),아프리카동물병원,,인성동물병원,서울특별시 영등포구 여의대방로39길 33-2 (신길동)
현대동물병원,서울특별시 성동구 금호로 47 (금호동4가),월드펫동물병원,서울특별시 종로구 진흥로 477-1 (신영동),LK동물병원,"서울특별시 노원구 중계로 220 (중계동,조은빌딩104호)",모범동물병원,서울특별시 동작구 사당로 229 (사당동),거여가축병원,서울특별시 송파구 마천로26길 12 (오금동),남서울동물병원,서울특별시 서초구 방배로34길 12 (방배동),화신종합동물병원,서울특별시 도봉구 도당로 63 (방학동),홍릉동물병원,,형제동물병원,서울특별시 관악구 남부순환로 1747-1 (봉천동),강성동물병원,,동물병원 위드,서울특별시 강북구 덕릉로 79 (수유동),창문동물병원,,대한동물병원,서울특별시 중구 퇴계로 227 (충무로4가),엔젤동물병원,서울특별시 중랑구 겸재로 187 (면목동),인왕동물병원,"서울특별시 서대문구 통일로 405 (홍제동, 창덕종합건설(주))",21세기종합동물병원,"서울특별시 강남구 선릉로66길 5 (대치동,제1층 101호)",21세기동물병원,"서울특별시 용산구 보광로 46, 용호빌딩 지상2층 202,203호 (보광동)",황하동물병원,"서울특별시 강서구 금낭화로 52 (방화동, 세성빌딩)",불광동물병원,서울특별시 은평구 불광로 37 (불광동),공덕동물병원,,진영동물병원,,금강종합동물병원,서울특별시 구로구 경인로 196 (오류동),벽산종합동물병원,,피카소동물병원,서울특별시 강동구 구천면로 431 (명일동),영등포동물병원,서울특별시 영등포구 당산로 96 (당산동1가)
평화와생명동물병원,"서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)",효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),준동물병원,서울특별시 노원구 수락산로2길 9-5 (상계동),대신동물병원,,영국동물병원,"서울특별시 송파구 동남로18길 23, 무영빌딩 (가락동)",서초동물병원,서울특별시 서초구 효령로57길 4 (서초동),한빛동물병원,서울특별시 도봉구 덕릉로 256 (창동),박철환동물병원,서울특별시 동대문구 사가정로 221 (장안동),최재준동물병원,,하니동물병원,서울특별시 양천구 등촌로 58 (목동),홈펫동물병원,,큐동물병원,서울특별시 성북구 장위로 81 (장위동),동국동물병원,서울특별시 중구 퇴계로 238 (충무로5가),동부제일동물병원,서울특별시 중랑구 망우로 266 (상봉동),백년동물병원,서울특별시 서대문구 가좌로 104 (홍은동),그린동물병원,서울특별시 강남구 역삼로 406 (대치동),이태원동물병원,서울특별시 용산구 녹사평대로 210 (이태원동),스누피동물병원,"서울특별시 강서구 화곡로43길 24 (화곡동, 쥬라기동물병원)",한얼동물병원,서울특별시 은평구 응암로 226 (응암동),조상래동물병원,,예일동물병원,,라라동물의료원,"서울특별시 구로구 도림로 72, 1,B1층 (구로동)",법원단지동물병원,,길종합동물병원,"서울특별시 강동구 천호대로 1199, 1층 104호 (길동)",도림동물병원,서울특별시 영등포구 도신로 106 (신길동)
오렌지동물병원,서울특별시 성동구 행당로8길 41-2 (행당동),해동물병원,서울특별시 종로구 지봉로 53-1 (창신동),리치동물병원,서울특별시 노원구 동일로 1065 (공릉동),김확수동물병원,,희망종합동물병원,"서울특별시 송파구 올림픽로 88, 올림픽타워 101호 (잠실동)",서울동물병원,,방학동물병원,"서울특별시 도봉구 도봉로 723, 2층 (방학동)",뉴월드동물병원,"서울특별시 동대문구 한천로 94, 1층 (장안동)",DS동물병원,"서울특별시 관악구 조원중앙로 3, 1층 (신림동)",상아동물병원,,사랑동물병원,서울특별시 강북구 삼양로123길 6-12 (수유동),한사랑동물병원,서울특별시 성북구 성북로 27 (성북동1가),푸른약수동물병원,,홍상희동물병원,"서울특별시 중랑구 동일로 899, 1층 (묵동)",한솔동물병원,서울특별시 서대문구 통일로 392 (홍제동),대치동물병원,"서울특별시 강남구 삼성로 212 (대치동,은마상가 A-166호)",한남동물병원,서울특별시 용산구 대사관로24길 28 (한남동),공항동물병원,서울특별시 강서구 방화동로 48-1 (방화동),연서동물병원,서울특별시 은평구 연서로 162 (대조동),이화동물병원,,프라임동물병원,서울특별시 광진구 아차산로 451 (구의동),24시 지구촌 동물메디컬 센터,"서울특별시 구로구 구로중앙로31길 30, 24시 지구촌 동물 메디컬센터 (구로동)",연종합동물병원,,세종동물병원,서울특별시 강동구 구천면로 237 (천호동),토론토동물병원,
강아지나라동물병원,서울특별시 성동구 금호로 148-1 (금호동1가),북악동물병원,서울특별시 종로구 자하문로 293 (홍지동),25시동물병원,"서울특별시 노원구 한글비석로8길 16, 102호 (중계동, 대림벽산상가)",동작동물종합병원,서울특별시 동작구 상도로 71 (대방동),노아동물병원,서울특별시 송파구 오금로 498 (거여동),에덴동물병원,"서울특별시 서초구 도구로 115-1 (방배동,1층)",창동애견종합동물병원,서울특별시 도봉구 도봉로 534 (창동),그랜드동물병원,서울특별시 동대문구 전농로 86-1 (답십리동),서진동물병원,서울특별시 관악구 봉천로 236 (신림동),노아동물병원,서울특별시 양천구 목동동로10길 6 (신정동),미아동물병원,서울특별시 강북구 솔샘로 255 (미아동),나래종합동물병원,서울특별시 성북구 동소문로 66 (동소문동3가),남산동물병원,"서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)",비비펫동물병원,,북아현동물병원,서울특별시 서대문구 신촌로 289-1 (북아현동),포이동물병원,서울특별시 강남구 개포로 223 (개포동),구림동물병원,"서울특별시 용산구 이촌로 245 (이촌동,로얄상가106호)",공항축산,서울특별시 강서구 개화동로29길 15 (방화동),늘푸른동물병원,서울특별시 은평구 은평로 29 (신사동),뉴욕종합동물병원,서울특별시 마포구 양화로 68 (서교동),우대종합동물병원,,개봉동물병원,서울특별시 구로구 고척로 157 (고척동),법원단지동물병원,,세종종합동물병원,,신풍동물종합병원,서울특별시 영등포구 신길로 70 (신길동)
